60568,478394,5.8,Vikaren (2007),R | 1h 33min | Comedy/ Fantasy/ Horror | 15 June 2007 (Denmark),A group of sixth graders are convinced their new substitute teacher is actually a menacing alien.
60579,453383,6.5,Naboer (2005),1h 15min | Horror/ Mystery/ Thriller | 11 March 2005 (Norway),"John has just been left by his girlfriend Ingrid. That day he allows himself to be seduced into a mystical and scary world, where it is impossible to separate truth from the lies"
60585,74312,7.3,Chinesisches Roulette (1976),Not Rated | 1h 26min | Drama/ Thriller | 30 March 1977 (France),"Both the parents of a young teen who walks with crutches, goes on each their secret meeting with lovers, both surprising each other at the family's county home. The daughter arrives and initiates a guessing game of 'Chinese roulette'."
60590,765141,6.2,La question humaine (2007),2h 23min | Drama/ History/ Music | 12 September 2007 (France),A psychologist discovers troubling links between Nazism and modern-day big business.
60599,462295,6,Flakes (2007),1h 24min | Comedy | 10 March 2007 (USA),"A cereal bar manager with dreams of making it big as a rock star, is admired by the locals in town until a greedy capitalist steals his entrepreneurial business."
60609,758742,7.7,Death Note: Desu noto (2006),12 | 2h 6min | Crime/ Drama/ Fantasy | 2 November 2006 (South Korea),"A battle between the world's two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals."
60616,55124,6.9,A Majority of One (1961),2h 36min | Comedy/ Family/ Drama | 3 September 1962 (Romania),"A gentle love story about a Japanese businessman and widower, and a Brooklyn widow. But before a happy ending can ensue, they must learn again the lessons of tolerance, kindness, and forgiveness."
60618,444672,5.3,Moving McAllister (2007),PG-13 | 1h 29min | Adventure/ Comedy/ Romance | 14 September 2007 (USA),Law intern Rick aims for the top. He tells his boss he'll do anything - incl. drive the cute wild niece Miami to LA. Back well prepared for bar exam 3 days later?
60625,51047,7.3,The Tall T (1957),12 | 1h 18min | Romance/ Thriller/ Western | 2 April 1957 (USA),"An independent former ranch foreman is kidnapped along with an heiress, who is being held for ransom by trio of ruthless outlaws."
60641,422783,7.3,Music Within (2007),15 | 1h 34min | Biography/ Comedy/ Drama | 5 January 2007 (USA),"The true story of Richard Pimentel, a brilliant public speaker with a troubled past, who returns from Vietnam deafened, and finds a new purpose in his landmark efforts on the behalf of Americans with disabilities."
60647,800241,6.7,Transsiberian (2008),18 | 1h 51min | Crime/ Drama/ Mystery | 24 October 2008 (Spain),A Transsiberian train journey from China to Moscow becomes a thrilling chase of deception and murder when an American couple encounters a mysterious pair of fellow travelers.
60649,482603,4.5,Space Chimps (2008),All | 1h 21min | Animation/ Adventure/ Comedy | 17 July 2008 (South Korea),Three chimps are sent into space to explore the possibility of alien life when an unmanned space shuttle crash lands on an uncharted planet.
60654,437526,6.2,Une vieille maitresse (2007),18 | 1h 53min | Drama/ Romance | 31 July 2008 (South Korea),"Secrets, rumors and betrayals surround the upcoming marriage between a young dissolute man and virtuous woman of the French aristocracy."
